$$ Welcome to speedtest. 
$$ Argument [0]: ./speedtest 
$$ Argument [1]: Hello 
$$ Testing speed versus samples on d2d 4/6/8. 
$$ Initialisation took 494346 microseconds. 
10	13049	105308	352234
20	26547	208000	701655
30	39710	311322	1060474
40	52156	415930	1409323
50	65487	518919	1753857
60	79266	622024	2107677
70	90888	726820	2456574
80	104391	829938	2886491
90	117791	935671	3219839
100	130884	1037140	3515987
110	143468	1143842	3881323
120	157290	1246853	4217029
130	168379	1348283	4573462
140	183730	1453292	4903751
150	194649	1548537	5253824
160	207584	1658474	5603787
170	220299	1763638	5974721
180	233990	1873402	6322440
190	246996	1969455	6674097
200	260018	2077650	7026365
210	272228	2179095	7376124
220	286836	2282820	7719805
230	298419	2391393	8080761
240	311887	2490694	8426893
250	326110	2663982	8855606
260	338573	2696117	9128746
270	350179	2805050	9479826
280	363033	2901253	9853763
290	377762	3007355	10171236
300	387176	3107465	10523915
310	401262	3209412	10883516
320	414906	3321469	11247708
330	427122	3421281	11573204
340	440904	3521349	11915871
350	452671	3630785	12489996
360	469113	3737359	12660729
370	479196	3848095	12988730
380	500572	3945377	13329353
390	506867	4043911	13695379
400	517377	4145360	14013316
410	530463	4245960	14389945
420	546043	4354704	14733094
430	557593	4456572	15071132
440	571192	4556564	15596615
450	581869	4674050	15838436
460	596612	4778586	16151940
470	608500	4879143	16510092
480	621597	4986110	16837555
490	632675	5068691	17170608
500	648656	5183774	17550318
510	660691	5288156	18041067
520	690202	5387192	18329005
530	689507	5561226	18618631
540	701994	5595947	18940802
550	710443	5709527	19315629
560	727641	5815422	19650207
570	737823	5902900	19992176
580	754401	6011157	20355945
590	763888	6117051	20743700
600	778420	6324002	21167940
610	792316	6332837	21422511
620	804586	6430728	21797393
630	815586	6533911	22118840
640	831211	6650489	22616613
650	843400	6747623	22863775
660	855701	6867111	23150101
670	867563	6939122	23507501
680	885861	7072130	24050712
690	895153	7169871	24273692
700	910981	7265089	24607935
710	925249	7378605	24954226
720	932810	7470782	25435120
730	943656	7579564	25596870
740	959869	7689000	25979598
750	970309	7772242	26482934
760	983369	7888841	26750013
770	999513	7985850	27009418
780	1011200	8084452	27402023
790	1063200	8248790	27768301
800	1036045	8294381	28051446
810	1048639	8379251	28386239
820	1061077	8505795	28878155
830	1074198	8620151	29130485
840	1087773	8703947	29484978
850	1101395	8822001	29866824
860	1124316	8931608	30366997
870	1127892	9145678	30599574
880	1140871	9137066	30937841
890	1158590	9249718	31463100
900	1169699	9377798	31650129
910	1179921	9456364	31958369
920	1193434	9558324	32374088
930	1204005	9726965	32807117
940	1221922	9790273	33143037
950	1234315	9862495	33423996
960	1242303	9970555	33691525
970	1258683	10074110	34208360
980	1278857	10229910	34489059
990	1287375	10286616	34838533
1000	1296068	10402282	35322961
1010	1309870	10515872	35525327
1020	1321820	10590341	35912143
1030	1341609	10694472	36195549
1040	1351729	10798412	36751300
1050	1366953	10916428	36944687
1060	1374254	11034505	37454325
1070	1407708	11149740	37668940
1080	1398676	11230336	37998157
1090	1417316	11368503	38548426
1100	1426371	11429751	38723788
1110	1443098	11539150	39235532
1120	1451496	11659153	39292651
1130	1467055	11735818	39855136
1140	1520797	11847862	40053095
1150	1491221	11952145	40451353
1160	1501339	12050949	40959857
1170	1523591	12224473	41080971
1180	1532317	12223037	41394302
1190	1541232	12354848	41759253
1200	1554567	12584463	42149064
1210	1563271	12548475	42480178
1220	1581138	12667542	42954999
1230	1594965	12863946	43191083
1240	1604103	12837577	43634639
1250	1646752	13102525	43985644
1260	1635638	13075480	44287785
1270	1648443	13185673	44736490
1280	1669041	13348199	45029250
1290	1674989	13446144	45375649
1300	1688077	13654055	45799642
1310	1701000	13595587	46045134
1320	1713795	13708748	46549271
1330	1722492	13839673	46778986
1340	1749041	13926247	47207086
1350	1764646	14126289	47467167
1360	1764974	14119823	47969142
1370	1781894	14250097	48172248
1380	1789391	14326420	48485028
1390	1806784	14525099	48967486
1400	1812612	14514086	49199280
1410	1825881	14621417	49786954
1420	1846086	14750431	49890892
1430	1858094	14890265	50416088
1440	1903905	14989729	50603906
1450	1879106	15072453	50974482
1460	1932389	15333359	51335245
1470	1909379	15238783	51698026
1480	1991186	15451128	52028856
1490	1931995	15486877	52520713
1500	1947289	15610329	52763859
1510	1941639	15545469	52568008
1520	1951118	15620058	52904812
1530	1964754	15724467	53227516
1540	1975908	15834255	53589837
1550	1990060	15946586	53929252
1560	2002610	16028855	54320520
1570	2014469	16138575	54639780
1580	2027948	16241549	54984880
1590	2042976	16345081	55311877
1600	2053649	16454663	55669484
1610	2067080	16580647	56029419
1620	2080080	16652792	56370035
1630	2092337	16756187	56713981
1640	2103077	16855165	57079877
1650	2116318	16959882	57437351
1660	2139039	17075344	57767772
1670	2144098	17165036	58090117
1680	2156328	17273285	58461583
1690	2172291	17383315	58801017
1700	2185787	17482144	59193609
1710	2197278	17594856	59541500
1720	2210899	17689382	59858402
1730	2223081	17792604	60200764
1740	2234792	17901953	60540354
1750	2244885	18013151	60904371
1760	2259876	18099534	61249749
1770	2274060	18196604	61595829
1780	2285897	18289210	61942734
1790	2297819	18401575	62294305
1800	2311459	18505415	62641364
1810	2322411	18604226	62996366
1820	2335562	18703707	63346227
1830	2350821	18821047	63708173
1840	2362593	18910832	64029914
1850	2379054	19017397	64369486
1860	2388628	19119072	64720437
1870	2401283	19239413	65084720
1880	2415376	19334195	65391044
1890	2426209	19429680	65749248
1900	2439158	19544355	66100332
1910	2450601	19639598	66452457
1920	2470557	19769013	66816149
1930	2479069	19832843	67146119
1940	2492457	19947427	67487971
1950	2504335	20051138	67838142
1960	2515309	20167800	68180837
1970	2530902	20263587	68558757
1980	2541180	20358760	68890367
1990	2554926	20475825	69260618
2000	2574008	20574995	69596332
2010	2582878	20673001	69928686
2020	2590956	20769238	70276135
2030	2611451	20871214	70674757
2040	2618121	20972111	70988117
2050	2632867	21071101	71325207
2060	2645794	21176424	71695156
2070	2655597	21298364	72081681
2080	2670584	21387448	72381364
2090	2681426	21487575	72720612
2100	2696641	21585343	73066966
2110	2710308	21680939	73453650
2120	2721907	21790975	73758116
2130	2735011	21903375	74108742
2140	2747959	22011694	74480063
2150	2768235	22142037	74874140
2160	2780959	22216453	75175205
2170	2785141	22305403	75516470
2180	2798727	22401901	75883035
2190	2814245	22513500	76204308
2200	2825143	22619479	76606368
2210	2836595	22719881	76918838
2220	2851194	22866768	77286239
2230	2860736	22920627	77590629
2240	2874997	23019121	77924275
2250	2886260	23131459	78305613
2260	2902069	23229048	78650878
2270	2912607	23345596	79009149
2280	2925959	23442384	79368402
2290	2948136	23570450	79727815
2300	2951640	23656491	80039009
2310	2963997	23742358	80387373
2320	2978244	23849799	80802205
2330	2989639	23958169	81111940
2340	3002684	24070897	81456071
2350	3023592	24162447	81817788
2360	3027198	24267208	82115332
2370	3040850	24375050	82504032
2380	3054584	24482492	82830055
2390	3076852	24590796	83169810
2400	3080658	24673679	83542317
2410	3094138	24789606	83894199
2420	3108157	24907292	84266345
2430	3119969	24994654	84588970
2440	3132545	25095306	84947792
2450	3141803	25198536	85296336
2460	3158236	25297066	85622436
2470	3169000	25401166	85955510
2480	3182377	25492712	86333039
2490	3197027	25634379	86673962
2500	3210869	25712246	87010222
2510	3227169	25807767	87366878
2520	3234592	25912060	87708817
2530	3248642	26013161	88055398
2540	3261178	26129706	88433628
2550	3274739	26239960	88745162
2560	3286320	26339723	89106520
2570	3296532	26436344	89498518
2580	3312919	26528679	89768918
2590	3324179	26635373	90135415
2600	3339084	26763244	90527156
2610	3351340	26849245	90866258
2620	3362053	26952538	91174052
2630	3391331	27052487	91573082
2640	3388356	27142285	91887840
2650	3402001	27249902	92252027
2660	3414566	27372414	92579383
2670	3428759	27455191	92919945
2680	3444685	27572930	93276568
2690	3455483	27666974	93667165
2700	3464551	27770458	93980154
2710	3478490	27883210	94307837
2720	3490423	27965668	94698186
2730	3505712	28074867	95005743
2740	3525700	28174136	95349358
2750	3532399	28267749	95785794
2760	3541331	28384915	96076030
2770	3557033	28501510	96397534
2780	3566339	28620074	96776164
2790	3584838	28680067	97107783
2800	3591554	28789434	97461066
2810	3606946	28897762	97792381
2820	3620280	28990362	98140435
2830	3631038	29102236	98515287
2840	3653096	29190910	98841743
2850	3658577	29326212	99178640
2860	3668737	29401393	99547619
2870	3685415	29502015	99925339
2880	3697082	29600149	100235598
2890	3709346	29748194	100556968
2900	3720966	29804355	100913310
2910	3737036	29927013	101320751
2920	3748081	30024490	101624790
2930	3775177	30132583	101999108
2940	3770889	30226543	102342970
2950	3789270	30333012	102660677
2960	3797072	30425949	102989770
2970	3830364	30548106	103342893
2980	3826672	30631037	103703720
2990	3835214	30753667	104078556
3000	3853062	30850696	104401782
3010	3864464	30957619	104745335
3020	3873314	31076470	105095096
3030	3890734	31144021	105439317
3040	3898380	31261758	105822928
3050	3916474	31366709	106118998
3060	3924617	31466081	106488616
3070	3937374	31548316	106857753
3080	3950349	31666762	107182026
3090	3964412	31764448	107546624
3100	3980744	31873797	107862813
3110	3992696	31973082	108197142
3120	4005424	32072615	108592336
3130	4015096	32187375	108909554
3140	4030177	32274906	109289302
3150	4040415	32379966	109597081
3160	4061658	32483442	109964274
3170	4066621	32582889	110333150
3180	4083145	32691489	110663217
3190	4094433	32802264	111041486
3200	4111380	32896936	111351586
3210	4121715	33001995	111718047
3220	4130882	33135421	112119246
3230	4143301	33239417	112436440
3240	4155524	33320640	112790707
3250	4171633	33433517	113118333
3260	4184515	33504460	113484137
3270	4196352	33627989	113780189
3280	4211796	33725886	114169866
3290	4220457	33828292	114527627
3300	4240931	33928142	114821267
3310	4245760	34039200	115200237
3320	4262578	34127851	115529458
3330	4275297	34230500	115892495
3340	4293757	34342595	116219610
3350	4298203	34441431	116576891
3360	4314302	34536504	116954406
3370	4329756	34649839	117263616
3380	4337828	34763299	117651554
3390	4350755	34842839	117963243
3400	4364604	34942667	118327686
3410	4378532	35066413	118664777
3420	4387457	35165984	119007694
3430	4403602	35279238	119375488
3440	4412053	35364881	119703782
3450	4433623	35466237	120069260
3460	4439522	35563257	120408782
3470	4454657	35684484	120811535
3480	4465133	35782470	121127284
3490	4482287	35884557	121556000
3500	4494107	36008814	121804381
3510	4503879	36087208	122135509
3520	4516227	36225408	122493034
3530	4534655	36286044	122834114
3540	4538882	36386979	123209018
3550	4559859	36495449	123530945
3560	4567897	36600415	123877678
3570	4579683	36703843	124206131
3580	4594516	36803217	124624414
3590	4604627	36899689	124938883
3600	4627252	37014590	125304778
3610	4640400	37107488	125610981
3620	4645774	37210596	125986847
3630	4669316	37336563	126322727
3640	4668312	37420538	126662146
3650	4687317	37554116	127008205
3660	4697368	37640682	127353069
3670	4705761	37738368	127733577
3680	4722575	37831045	128066389
3690	4741390	37939290	128440740
3700	4751567	38038748	128751378
3710	4760860	38158521	129118054
3720	4774462	38253511	129440664
3730	4787220	38350376	129816207
3740	4798753	38447157	130126723
3750	4809449	38556669	130526773
3760	4823403	38640371	130841037
3770	4838351	38753431	131227734
3780	4848533	38849164	131527631
3790	4862297	38948447	131946970
3800	4881951	39076514	132238577
3810	4887412	39166989	132628532
3820	4900999	39269223	132931567
3830	4915695	39374051	133307516
3840	4929398	39471796	133624461
3850	4943592	39575348	134008028
3860	4957977	39684653	134326458
3870	4971909	39782392	134704855
3880	4979541	39886891	135011710
3890	4998479	39984319	135423183
3900	5011281	40093304	135733165
3910	5018492	40191474	136099643
3920	5036349	40291023	136398232
3930	5047076	40390993	136800633
3940	5056012	40516944	137097073
3950	5072920	40599957	137492693
3960	5082308	40704577	137814212
3970	5093022	40821265	138251612
3980	5109687	40915024	138494206
3990	5117701	41019454	138865080
4000	5134306	41120660	139196305
4010	5147866	41218021	139582727
4020	5157162	41327106	139899271
4030	5170814	41428744	140261284
4040	5182171	41534987	140584606
4050	5197710	41646339	140959723
4060	5206603	41741179	141267301
4070	5227755	41856536	141658153
4080	5236535	41935663	141965053
4090	5255027	42038222	142373607
4100	5259449	42162670	142669053
4110	5273724	42271712	143028020
4120	5284286	42352976	143391405
4130	5297890	42485558	143693475
4140	5312456	42561678	144084693
4150	5325414	42678537	144403347
4160	5337680	42772373	144788892
4170	5354450	42876167	145102246
4180	5362185	42961426	145514406
4190	5378066	43087874	145811204
4200	5392901	43173111	146164813
4210	5401741	43288283	146504926
4220	5418447	43398935	146857014
4230	5434104	43496546	147165135
4240	5440228	43608514	147562378
4250	5452353	43711081	147903194
4260	5463263	43842632	148243825
4270	5477807	43910849	148620490
4280	5502375	44018707	148920779
4290	5504286	44091672	149343851
4300	5515237	44192368	149625447
4310	5527062	44311898	150002686
4320	5538614	44406473	150314094
